Title,Year,Gross Revenue (US$),Aggregate Rating (User),Aggregate Rating (Critic)
Avengers: Endgame,2019,2797800564,94,90
Avatar,2009,2789679794,82,82
Titanic,1997,2187463944,76,71
Star Wars: The Force Awakens,2015,2068223624,93,86
Avengers: Infinity War,2018,2048359754,85,91
Jurassic World,2015,1671713208,72,78
The Lion King,2019,1655714790,53,88
The Avengers,2012,1518812988,91,91
Furious 7,2015,1516045911,81,82
Avengers: Age of Ultron,2015,1405403694,75,83
Black Panther,2018,1346913161,97,79
Harry Potter and the Deathly Hallows – Part 2,2011,1341693157,96,89
Star Wars: The Last Jedi,2017,1332539889,91,44
Jurassic World: Fallen Kingdom,2018,1309484461,48,49
Frozen,2013,1290000000,90,85
Beauty and the Beast,2017,1263521126,71,80
Incredibles 2,2018,1242805359,94,84
The Fate of the Furious,2017,1238764765,67,72
Iron Man 3,2013,1214811252,79,78
Minions,2015,1159398397,55,49
Captain America: Civil War,2016,1153304495,91,89
Aquaman,2018,1148161807,66,75
Spider-Man: Far From Home,2019,1131928519,90,95
Captain Marvel,2019,1128274794,78,52
Transformers: Dark of the Moon,2011,1123794079,35,55
The Lord of the Rings: The Return of the King,2003,1120237002,93,86
Skyfall,2012,1108561013,92,86
Transformers: Age of Extinction,2014,1104054072,18,51
The Dark Knight Rises,2012,1084939099,87,90
Toy Story 4,2019,1073368577,97,94
Toy Story 3,2010,1066969703,98,89
Pirates of the Caribbean: Dead Man's Chest,2006,1066179725,53,72
Rogue One: A Star Wars Story,2016,1056057273,84,86
Aladdin,2019,1050693953,57,94
Pirates of the Caribbean: On Stranger Tides,2011,1045713802,33,54
Joker,2019,1036857842,68,88
Despicable Me 3,2017,1034799409,58,54
Jurassic Park,1993,1029939903,91,91
Finding Dory,2016,1028570889,94,84
Star Wars: Episode I – The Phantom Menace,1999,1027044677,53,59
Alice in Wonderland,2010,1025467110,51,55
Zootopia,2016,1023784195,97,92
The Hobbit: An Unexpected Journey,2012,1021103568,64,83
The Dark Knight,2008,1004934033,94,94
