Title,Year,Gross Revenue (US$),Aggregate Rating (User),Aggregate Rating (Critic),Genre
Pac-Man,1980,16330000000,83,79,Maze
Space Invaders,1978,14457000000,78,77,Shmup
Street Fighter II,1991,11854000000,83,80,Fighting
Dungeon Fighter Online,2005,11800000000,60,80,MMO beat 'em up
CrossFire,2007,10850000000,70,80,MMOFPS
World of Warcraft,2004,9702000000,86,86,MMORPG
Lineage,1998,9635000000,45,59,MMORPG
League of Legends,2009,8416000000,76,84,MOBA
Westward Journey,2001,8012000000,78,80,MMORPG
Monster Strike,2013,7200000000,78,80,Puzzle strategy RPG
Puzzle & Dragons,2012,7000000000,78,80,Puzzle RPG
Arena of Valor / Honor of Kings,2015,7000000000,88,80,MOBA
Wii Sports,2006,6305000000,75,75,Sports
Super Mario Bros.,1985,6082000000,85,80,2D platformer
Grand Theft Auto V,2013,6000000000,91,96,Action adventure
Donkey Kong,1981,5732000000,73,80,2D platformer
Wii Fit,2007,5225000000,60,74,Fitness
Candy Crush Saga,2012,5062000000,47,80,Puzzle
Super Mario Bros. 3,1988,4935000000,90,80,2D platformer
Sonic the Hedgehog,1991,4303000000,72,80,2D platformer
MapleStory,2003,4192000000,80,50,MMORPG
Clash of Clans,2012,4067000000,65,80,Strategy
Super Mario World,1990,4014000000,92,100,2D platformer
Super Mario Bros. 2,1986,3838000000,77,80,2D platformer
Pokémon Red/Green/Blue/Yellow,1996,3720000000,85,75,RPG
World Club Champion Football,2002,3411000000,78,80,Sports simulation
Pokémon Go,2016,3365000000,64,63,Augmented reality
Fate/Grand Order,2015,3306000000,98,80,RPG
Wii Sports Resort,2009,3241000000,78,90,Sports
Mario Kart Wii,2008,3232000000,80,71,Kart racing
Pokemon Gold/Silver/Crystal,1999,2923000000,85,88,RPG
Wii Play,2006,2690000000,67,60,Party
Super Mario 64,1996,2590000000,90,89,3D Platformer
Ms. Pac-Man,1981,2585000000,83,84,Maze
New Super Mario Bros. Wii,2009,2492000000,82,81,2D platformer
Duck Hunt,1984,2469000000,69,80,Light gun shooter
Fortnite,2017,2400000000,69,83,Battle royale
Pokémon Ruby/Sapphire/Emerald,2002,2240000000,82,80,RPG
Clash Royale,2016,2178000000,76,80,Strategy
New Super Mario Bros.,2006,2167000000,82,95,2D platformer
Tetris,1988,2065000000,89,80,Puzzle
Asteroids,1979,2029000000,78,90,Shmup
PlayerUnknown's Battlegrounds,2017,2028000000,77,75,Battle royale
Final Fantasy XIV,2010,1918000000,83,92,MMORPG
Call of Duty: Black Ops(incl. map packs),2010,1925000000,80,81,FPS
Compilation of Final Fantasy VII,1997,1839000000,91,85,RPG
Final Fantasy XI Online,2002,1760000000,78,63,MMORPG
Final Fantasy X & X-2,2001,1739000000,86,95,RPG
Call of Duty: Black Ops(excl. map packs),2010,1632000000,80,81,FPS
Minecraft,2011,1593000000,83,84,Sandbox
Pole Position (US gross),1982,1470000000,74,60,Racing
Defender,1980,1469000000,77,70,Shmup
NBA Jam,1993,1421000000,81,69,Sports
TERA Online,2011,1403000000,71,73,MMO action RPG
Pokémon Diamond/Pearl/Platinum,2006,1396000000,80,83,RPG
Final Fantasy VII,1997,1377000000,91,85,RPG
Pokémon Sun & Moon,2016,1272000000,78,86,RPG
Dragon Quest I & II,1986,1132000000,71,80,RPG
Dragon Quest V,1992,1127000000,69,80,RPG
Summoners War,2013,1051000000,78,80,Strategy
Pokémon X & Y,2013,1001000000,80,87,RPG
Call of Duty: WWII,2017,1000000000,77,75,FPS
Call of Duty: Black Ops 4,2018,1000000000,73,84,FPS
Red Dead Redemption 2,2018,1000000000,94,95,Action adventure
